"INTERNAL_ID","VETTING_LEVEL","NAME","BIRTH_DATE","OCCUPATION","PASSPORT_COUNTRY","COUNTRIES_VISITED","COUNTRY_1","COUNTRY_2","COUNTRY_3","COUNTRIES_VISITED_COUNT","AGE","VETTING_LEVEL_DESC","ARRIVAL_AIRPORT_STATE","DEPARTURE_AIRPORT_IATA","ARRIVAL_AIRPORT_MUNICIPALITY","ARRIVAL_AIRPORT_IATA","ARRIVAL_AIRPORT_COUNTRY_CODE","DEPARTURE_AIRPORT_REGION","DEPARTURE_AIRPORT_COUNTRY_CODE","DEPARTURE_AIRPORT_MUNICIPALITY","Category"
"216","100","Susan Ashley Long","2000-05-09","Psychologist, clinical","Ghana","PG,AE,HU","PG","AE","HU","3","16","Unvetted","OH","POM","Toledo","TOL","US","PG-NCD","PG","Port Moresby","Medical"
"219","100","Ami Washington","2000-01-20","Customer service manager","Ghana","AE,LU,IQ,UY,IE","AE","LU","IQ","5","17","Unvetted","FL","DWC","Sarasota/Bradenton","SRQ","US","AE-DU","AE","Jebel Ali","Retail"
"220","100","Bonnie Smith","1972-10-03","Chemical engineer","Ghana","IT,TH,UZ","IT","TH","UZ","3","44","Unvetted","LA","NAP","Lafayette","LFT","US","IT-72","IT","Nápoli","Engineering"
"223","100","Tina Castro","1978-09-08","Press photographer","Ghana","IQ,RU,CO,IS,DK","IQ","RU","CO","5","38","Unvetted","FL","BSR","Miami","MIA","US","IQ-BA","IQ","Basrah","Journalism"
"785","20","Sara Nunez","1978-12-28","Industrial/product designer","Ghana","HU,BY,NO,OM","HU","BY","NO","4","38","Medium Risk","CA","BUD","Lompoc","VBG","US","HU-PE","HU","Budapest","Other"
"788","100","Rea Ray","1996-01-13","TEFL teacher","Ghana","EC,BY,PL,RS,BR,OM","EC","BY","PL","6","21","Unvetted","MO","LTX","Springfield","SGF","US","EC-X","EC","Latacunga","Education"
"792","100","Elle King","1971-03-29","Photographer","Ghana","AE,IR,JP,JP,AL,DZ","AE","IR","JP","6","45","Unvetted","CA","DWC","Marysville","BAB","US","AE-DU","AE","Jebel Ali","Arts"
"795","100","Taylor Ana Martin","1978-09-11","Psychotherapist","Ghana","QA","QA",,,"1","38","Unvetted","PA","DOH","Pittsburgh","PIT","US","QA-DA","QA","Doha","Medical"
"798","100","Joy Tina Smith","1986-10-16","Engineering geologist","Ghana","MX,ID,JM,OM,UA,RS,SN,JO,SK,AZ","MX","ID","JM","10","30","Unvetted","AZ","PVR","Tucson","TUS","US","MX-JAL","MX","Puerto Vallarta","Engineering"
"800","100","Morgan White","1996-06-10","Art gallery manager","Ghana","TW,JP,DK,NO,AE,CY","TW","JP","DK","6","20","Unvetted","MS","KNH","Columbus","CBM","US","TW-X-KM","TW","Shang-I","Arts"
"803","100","Nat Jodi Brandt","1987-05-27","Chemist, analytical","Ghana","UZ","UZ",,,"1","29","Unvetted","ID","TAS","Boise","BOI","US","UZ-TO","UZ","Tashkent","Science"
"806","100","Chelle Hartman","1979-11-01","Database administrator","Ghana","CH,PA,BG,AE,ZA,CA,TR,NL,SG,IL","CH","PA","BG","10","37","Unvetted","MD","ZRH","Camp Springs","ADW","US","CH-ZH","CH","Zurich","Information Technology"
"809","100","Kariny Dalton","1977-11-02","Geophysicist/field seismologist","Ghana","FI,OM,LV","FI","OM","LV","3","39","Unvetted","UT","HEL","Salt Lake City","SLC","US","FI-ES","FI","Helsinki","Science"
